Publication Number,Application Number,Disclosure-Information ,Specification,Responsible Working Group,CT WG 4,SA 2,RAN 3,RAN 2,RAN 5,RAN 6,SA 6,SA 5,CT WG 3,CT WG 1,RAN 4,SA 1,RAN 1,SA 3,CT WG 6,SA 4
EP3277024B1,EP2017189488A,"ISLD : ISLD-201805-014 Disc : 92 Project : 3GPP NR Rel 15 Standard : TS 38.331 Version :  Section :  Disclosure-Date : 05/04/18
ISLD : ISLD-201805-018 Disc : 58 Project : 3GPP NR Rel 15 Standard : TS 38.331 Version :  Section :  Disclosure-Date : 05/11/18
ISLD : ISLD-201905-014 Disc : 26 Project : 3GPP 5G NR Standard : TS 38.300|TS 38.321|TS 38.331 Version : 15.1.0|15.1.0|15.1.0 Section : || Disclosure-Date : 05/09/19
ISLD : ISLD-201907-045 Disc : 13 Project : LTE Advanced Pro/5G Standard : TS 38.300|TS 38.331|TS 36.331|TS 36.300 Version : ||| Section : ||| Disclosure-Date : 07/31/19
ISLD : ISLD-201907-046 Disc : 115 Project : LTE Advanced Pro/5G Standard : TS 38.331|TS 36.331|TS 38.321|TS 36.321 Version : ||| Section : ||| Disclosure-Date : 07/31/19
ISLD : ISLD-201907-046 Disc : 119 Project : LTE Advanced Pro/5G Standard : TS 38.300|TS 38.331|TS 36.331|TS 36.300 Version : ||| Section : ||| Disclosure-Date : 07/31/19
ISLD : ISLD-201907-046 Disc : 161 Project : LTE Advanced Pro/5G Standard : TS 38.331|TS 36.331|TS 38.321|TS 36.321 Version : ||| Section : ||| Disclosure-Date : 07/31/19
ISLD : ISLD-201907-046 Disc : 18 Project : LTE Advanced Pro/5G Standard : TS 38.331|TS 36.304|TS 38.304|TS 36.331 Version : ||| Section : ||| Disclosure-Date : 07/31/19",TS 38.331,RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EP3544198A1,EP2019172955A,ISLD : ISLD-201704-009 Disc : 5 Project : 3GPP NR Rel 15 Standard : TS 38.213|TS 38.331|TS 38.214|TS 38.211 Version : 15.0.0|15.0.0|15.0.0|15.0.0 Section : ||| Disclosure-Date : 05/19/17,TS 38.213|TS 38.331|TS 38.214|TS 38.211,RAN 1|RAN 2|RAN 1|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
EP3544360A1,EP2019167098A,ISLD : ISLD-201705-021 Disc : 19 Project : 3GPP NR Rel 15 Standard : TS 38.213|TS 38.214|TS 38.211 Version : 15.0.0|15.0.0|15.0.0 Section : || Disclosure-Date : 05/22/17,TS 38.213|TS 38.214|TS 38.211,RAN 1|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
EP3189648B1,EP2016847578A,ISLD : ISLD-201705-022 Disc : 27 Project : 3GPP NR Rel 15 Standard : TS 38.213|TS 38.214 Version : 15.0.0|15.0.0 Section : | Disclosure-Date : 05/22/17,TS 38.213|TS 38.214,RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
EP3516908A4,EP2017890105A,ISLD : ISLD-201705-026 Disc : 8 Project : 3GPP NR Rel 15 Standard : TS 38.213|TS 38.214|TS 38.321 Version : 15.0.0|15.0.0|15.0.0 Section : || Disclosure-Date : 05/22/17,TS 38.213|TS 38.214|TS 38.321,RAN 1|RAN 1|RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
EP3373663B1,EP2018158773A,"ISLD : ISLD-201711-005 Disc : 22 Project : 3GPP-Release-15 (LTE-Advanced Pro, NR release 15) Standard : TS 38.321 Version :  Section :  Disclosure-Date : 12/22/17
ISLD : ISLD-201906-026 Disc : 143 Project : 3GPP 5G NR Standard : TS 38.321 Version :  Section :  Disclosure-Date : 06/21/19",TS 38.321,RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EP2941061B1,EP2013871484A,ISLD : ISLD-201711-019 Disc : 43 Project : New Radio(NR) Standard : TS 38.213|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.214 Version : ||||| Section : ||||| Disclosure-Date : 12/25/17,TS 38.213|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.214,RAN 1|RAN 2|RAN 2|RAN 1|RAN 1|RAN 1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0
EP3503668A4,EP2017850303A,ISLD : ISLD-201711-019 Disc : 315 Project : New Radio(NR) Standard : TS 38.321|TS 38.213|TS 38.413|TS 38.300|TS 38.331|TS 38.423|TS 38.212|TS 38.211|TS 38.214|TS 38.215 Version : ||||||||| Section : ||||||||| Disclosure-Date : 12/25/17,TS 38.321|TS 38.213|TS 38.413|TS 38.300|TS 38.331|TS 38.423|TS 38.212|TS 38.211|TS 38.214|TS 38.215,RAN 2|RAN 1|RAN 3|RAN 2|RAN 2|RAN 3|RAN 1|RAN 1|RAN 1|RAN 1,0,0,2,3,0,0,0,0,0,0,0,0,5,0,0,0
EP3506581A4,EP2017871910A,ISLD : ISLD-201711-019 Disc : 791 Project : New Radio(NR) Standard : TS 38.321|TS 38.101|TS 38.331|TS 38.213|TS 38.413|TS 23.502|TS 38.473|TS 23.501|TS 38.300|TS 38.322|TS 38.423|TS 37.340|TS 38.212|TS 38.323|TS 38.211|TS 38.214|TS 38.215 Version : |||||||||||||||| Section : |||||||||||||||| Disclosure-Date : 12/25/17,TS 38.321|TS 38.101|TS 38.331|TS 38.213|TS 38.413|TS 23.502|TS 38.473|TS 23.501|TS 38.300|TS 38.322|TS 38.423|TS 37.340|TS 38.212|TS 38.323|TS 38.211|TS 38.214|TS 38.215,RAN 2|RAN 4|RAN 2|RAN 1|RAN 3|SA 2|RAN 3|SA 2|RAN 2|RAN 2|RAN 3|RAN 2|RAN 1|RAN 2|RAN 1|RAN 1|RAN 1,0,2,3,6,0,0,0,0,0,0,1,0,5,0,0,0
EP3528572A4,EP2017867785A,ISLD : ISLD-201711-019 Disc : 834 Project : New Radio(NR) Standard : TS 38.321|TS 38.101|TS 38.331|TS 38.213|TS 38.413|TS 23.502|TS 23.501|TS 38.300|TS 38.322|TS 38.423|TS 37.340|TS 38.212|TS 38.323|TS 38.211|TS 38.214|TS 38.215 Version : ||||||||||||||| Section : ||||||||||||||| Disclosure-Date : 12/25/17,TS 38.321|TS 38.101|TS 38.331|TS 38.213|TS 38.413|TS 23.502|TS 23.501|TS 38.300|TS 38.322|TS 38.423|TS 37.340|TS 38.212|TS 38.323|TS 38.211|TS 38.214|TS 38.215,RAN 2|RAN 4|RAN 2|RAN 1|RAN 3|SA 2|SA 2|RAN 2|RAN 2|RAN 3|RAN 2|RAN 1|RAN 2|RAN 1|RAN 1|RAN 1,0,2,2,6,0,0,0,0,0,0,1,0,5,0,0,0
EP3544232A1,EP2017872745A,ISLD : ISLD-201711-019 Disc : 867 Project : New Radio(NR)|New Core(NC) Standard : TS 23.502|TS 23.501 Version : | Section : | Disclosure-Date : 12/25/17,TS 23.502|TS 23.501,SA 2|SA 2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP3361805B1,EP2017208819A,ISLD : ISLD-201711-019 Disc : 1024 Project : New Radio(NR) Standard : TS 38.212|TS 38.213|TS 38.211|TS 38.331|TS 38.214 Version : |||| Section : |||| Disclosure-Date : 12/25/17,TS 38.212|TS 38.213|TS 38.211|TS 38.331|TS 38.214,RAN 1|RAN 1|RAN 1|RAN 2|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
EP3420659A4,EP2017757369A,ISLD : ISLD-201712-055 Disc : 5 Project : 3GPP 5G NR Standard : TS 38.201|TS 38.212|TS 38.211 Version : || Section : || Disclosure-Date : 12/28/17,TS 38.201|TS 38.212|TS 38.211,RAN 1|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
EP2700258B1,EP2011863825A,ISLD : ISLD-201804-016 Disc : 178 Project : New Radio(NR) Standard : TS 38.213|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.133|TS 38.214 Version : |||||| Section : |||||| Disclosure-Date : 04/24/18,TS 38.213|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.133|TS 38.214,RAN 1|RAN 2|RAN 2|RAN 1|RAN 1|RAN 4|RAN 1,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,0
EP3084985B1,EP2014872904A,ISLD : ISLD-201805-002 Disc : 69 Project : 3GPP NR Rel 15 Standard : TS 38.213 Version :  Section :  Disclosure-Date : 05/03/18,TS 38.213,RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EP2777176B1,EP2012848612A,ISLD : ISLD-201805-002 Disc : 93 Project : 3GPP NR Rel 15 Standard : TS 38.211 Version :  Section :  Disclosure-Date : 05/03/18,TS 38.211,RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
